song,artist,album_release_date,release_year,release_decade,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
The Edge of Glory,Lady Gaga,2011-01-01,2011,10,0JNdS1n0ifOP25XvhwAMgM,0.581,0.772,9,-6.544,1,0.0401,0.000343,0.0191,0.11,0.361,127.952,audio_features,spotify:track:0JNdS1n0ifOP25XvhwAMgM,https://api.spotify.com/v1/tracks/0JNdS1n0ifOP25XvhwAMgM,https://api.spotify.com/v1/audio-analysis/0JNdS1n0ifOP25XvhwAMgM,320587,4
Work Bitch,Britney Spears,2013-11-30,2013,10,3KliPMvk1EvFZu9cvkj8p1,0.629,0.824,9,-6.53,1,0.159,0.155,0.000628,0.0651,0.852,128.01,audio_features,spotify:track:3KliPMvk1EvFZu9cvkj8p1,https://api.spotify.com/v1/tracks/3KliPMvk1EvFZu9cvkj8p1,https://api.spotify.com/v1/audio-analysis/3KliPMvk1EvFZu9cvkj8p1,247960,4
Living in America,James Brown,1985,1985,80,0T1OrvV6bOQVL2vSQiDn6W,0.714,0.907,0,-4.687,1,0.0412,0.00121,0.000346,0.216,0.788,114.122,audio_features,spotify:track:0T1OrvV6bOQVL2vSQiDn6W,https://api.spotify.com/v1/tracks/0T1OrvV6bOQVL2vSQiDn6W,https://api.spotify.com/v1/audio-analysis/0T1OrvV6bOQVL2vSQiDn6W,248533,4
I'm Your Baby Tonight,Whitney Houston,1990-11-04,1990,90,3SmPl0CGxvvkQCrTv7edEE,0.665,0.899,6,-7.75,1,0.0877,0.303,2.21e-06,0.445,0.873,165.16,audio_features,spotify:track:3SmPl0CGxvvkQCrTv7edEE,https://api.spotify.com/v1/tracks/3SmPl0CGxvvkQCrTv7edEE,https://api.spotify.com/v1/audio-analysis/3SmPl0CGxvvkQCrTv7edEE,299427,3
Last Dance,Donna Summer,1980-09-08,1980,80,29RcVe2M9l8rHyWHffBmjf,0.341,0.721,3,-10.311,1,0.0801,0.131,0.00029,0.216,0.237,126.351,audio_features,spotify:track:29RcVe2M9l8rHyWHffBmjf,https://api.spotify.com/v1/tracks/29RcVe2M9l8rHyWHffBmjf,https://api.spotify.com/v1/audio-analysis/29RcVe2M9l8rHyWHffBmjf,199800,4
Strut,Sheena Easton,1984,1984,80,6gFIFMI3tsrM5QojcvVMfZ,0.91,0.751,1,-11.29,1,0.039,0.295,0.00214,0.141,0.975,114.659,audio_features,spotify:track:6gFIFMI3tsrM5QojcvVMfZ,https://api.spotify.com/v1/tracks/6gFIFMI3tsrM5QojcvVMfZ,https://api.spotify.com/v1/audio-analysis/6gFIFMI3tsrM5QojcvVMfZ,240960,4
Sorry Not Sorry,Demi Lovato,2017-09-29,2017,10,0yvPEnB032fojLfVluFjUv,0.706,0.643,11,-6.929,0,0.234,0.0242,0.0,0.262,0.885,143.931,audio_features,spotify:track:0yvPEnB032fojLfVluFjUv,https://api.spotify.com/v1/tracks/0yvPEnB032fojLfVluFjUv,https://api.spotify.com/v1/audio-analysis/0yvPEnB032fojLfVluFjUv,203760,4
Hood Boy,Fantasia,2006-12-09,2006,00,1QncxlVV6UqA10Dh7pCcj9,0.735,0.613,1,-10.443,1,0.333,0.0137,0.0,0.298,0.57,165.997,audio_features,spotify:track:1QncxlVV6UqA10Dh7pCcj9,https://api.spotify.com/v1/tracks/1QncxlVV6UqA10Dh7pCcj9,https://api.spotify.com/v1/audio-analysis/1QncxlVV6UqA10Dh7pCcj9,133068,4
Starships,Nicki Minaj,2011-01-01,2011,10,1oHNvJVbFkexQc0BpQp7Y4,0.747,0.716,11,-2.457,0,0.075,0.135,0.0,0.251,0.751,125.008,audio_features,spotify:track:1oHNvJVbFkexQc0BpQp7Y4,https://api.spotify.com/v1/tracks/1oHNvJVbFkexQc0BpQp7Y4,https://api.spotify.com/v1/audio-analysis/1oHNvJVbFkexQc0BpQp7Y4,210627,4
Kill the Lights,"Alex Newell, DJ Cassidy ft. Nile Rodgers",2016-04-15,2016,10,4iCKHGl4ij4YMwFrUZLGEQ,0.647,0.879,7,-0.93,1,0.0831,0.0837,1.98e-06,0.538,0.427,126.042,audio_features,spotify:track:4iCKHGl4ij4YMwFrUZLGEQ,https://api.spotify.com/v1/tracks/4iCKHGl4ij4YMwFrUZLGEQ,https://api.spotify.com/v1/audio-analysis/4iCKHGl4ij4YMwFrUZLGEQ,224762,4
