song,artist,album_release_date,release_year,release_decade,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,hot,cluster
Looking for a New Love,Jody Watley,2000-01-01,2000,00,7BeV8s7R68eqPelMmvp5tu,0.905,0.604,4,-7.433,0,0.0413,0.149,9.24e-05,0.0523,0.899,109.196,audio_features,spotify:track:7BeV8s7R68eqPelMmvp5tu,https://api.spotify.com/v1/tracks/7BeV8s7R68eqPelMmvp5tu,https://api.spotify.com/v1/audio-analysis/7BeV8s7R68eqPelMmvp5tu,242400,4,No,5
Knock on Wood,Amii Stewart,2012-10-17,2012,10,6120uJUyg6QDzaAJUosTx5,0.689,0.805,2,-11.199,1,0.0429,0.0019,8.23e-05,0.0683,0.914,140.791,audio_features,spotify:track:6120uJUyg6QDzaAJUosTx5,https://api.spotify.com/v1/tracks/6120uJUyg6QDzaAJUosTx5,https://api.spotify.com/v1/audio-analysis/6120uJUyg6QDzaAJUosTx5,250520,4,No,5
MacArthur Park,Donna Summer,1979-10-15,1979,70,42tYHqMxXxXHAAWqLaoOfQ,0.579,0.667,4,-12.361,0,0.04,0.0829,0.000605,0.0547,0.449,131.022,audio_features,spotify:track:42tYHqMxXxXHAAWqLaoOfQ,https://api.spotify.com/v1/tracks/42tYHqMxXxXHAAWqLaoOfQ,https://api.spotify.com/v1/audio-analysis/42tYHqMxXxXHAAWqLaoOfQ,235200,4,No,4
Toxic,Britney Spears,2003-11-13,2003,00,6I9VzXrHxO9rA9A5euc8Ak,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,audio_features,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,https://api.spotify.com/v1/tracks/6I9VzXrHxO9rA9A5euc8Ak,https://api.spotify.com/v1/audio-analysis/6I9VzXrHxO9rA9A5euc8Ak,198800,4,No,5
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,1968-01-22,1968,60,5K09WxKdlkroDyEVyOSySy,0.603,0.271,5,-10.083,1,0.0284,0.679,0.0,0.141,0.405,110.89,audio_features,spotify:track:5K09WxKdlkroDyEVyOSySy,https://api.spotify.com/v1/tracks/5K09WxKdlkroDyEVyOSySy,https://api.spotify.com/v1/audio-analysis/5K09WxKdlkroDyEVyOSySy,165333,3,No,0
No One Else on Earth,Wynonna Judd,1997-04-08,1997,90,52PGtJuGEFNVOnRdLac1Av,0.775,0.861,0,-7.119,1,0.0295,0.188,4.2e-06,0.199,0.964,98.649,audio_features,spotify:track:52PGtJuGEFNVOnRdLac1Av,https://api.spotify.com/v1/tracks/52PGtJuGEFNVOnRdLac1Av,https://api.spotify.com/v1/audio-analysis/52PGtJuGEFNVOnRdLac1Av,255400,4,No,10
Glamazon,RuPaul,2011-05-03,2011,10,5LCKQ7PXZRIKnBbABb7ed0,0.859,0.828,6,-6.925,0,0.0529,0.0156,0.000828,0.0205,0.36,124.023,audio_features,spotify:track:5LCKQ7PXZRIKnBbABb7ed0,https://api.spotify.com/v1/tracks/5LCKQ7PXZRIKnBbABb7ed0,https://api.spotify.com/v1/audio-analysis/5LCKQ7PXZRIKnBbABb7ed0,201013,4,No,9
Bad Girls,Donna Summer,1979-04-25,1979,70,1ibRqifchaAfeNdQGpbRVW,0.857,0.7,2,-14.506,0,0.0358,0.00387,0.0164,0.411,0.973,120.529,audio_features,spotify:track:1ibRqifchaAfeNdQGpbRVW,https://api.spotify.com/v1/tracks/1ibRqifchaAfeNdQGpbRVW,https://api.spotify.com/v1/audio-analysis/1ibRqifchaAfeNdQGpbRVW,295107,4,No,4
This Will Be,Natalie Cole,1975-01-01,1975,70,0PDCewmZCp0P5s00bptcdd,0.685,0.623,8,-11.146,1,0.042,0.228,0.00234,0.0295,0.896,126.739,audio_features,spotify:track:0PDCewmZCp0P5s00bptcdd,https://api.spotify.com/v1/tracks/0PDCewmZCp0P5s00bptcdd,https://api.spotify.com/v1/audio-analysis/0PDCewmZCp0P5s00bptcdd,171960,4,No,4
Trouble,Pink,2003-11-10,2003,00,0qrGSKtrEj7PJAGVBFE9vG,0.572,0.933,7,-2.705,1,0.05,0.00825,0.0,0.244,0.848,135.56,audio_features,spotify:track:0qrGSKtrEj7PJAGVBFE9vG,https://api.spotify.com/v1/tracks/0qrGSKtrEj7PJAGVBFE9vG,https://api.spotify.com/v1/audio-analysis/0qrGSKtrEj7PJAGVBFE9vG,193600,4,No,5
Vogue,Madonna,2009-09-18,2009,00,27QvYgBk0CHOVHthWnkuWt,0.737,0.88,6,-6.449,1,0.0433,0.00379,0.00351,0.417,0.329,115.998,audio_features,spotify:track:27QvYgBk0CHOVHthWnkuWt,https://api.spotify.com/v1/tracks/27QvYgBk0CHOVHthWnkuWt,https://api.spotify.com/v1/audio-analysis/27QvYgBk0CHOVHthWnkuWt,316813,4,No,1
Born This Way,Lady Gaga,2011-01-01,2011,10,6r2BECwMgEoRb5yLfp0Hca,0.587,0.828,11,-5.108,1,0.161,0.00327,0.0,0.331,0.494,123.907,audio_features,spotify:track:6r2BECwMgEoRb5yLfp0Hca,https://api.spotify.com/v1/tracks/6r2BECwMgEoRb5yLfp0Hca,https://api.spotify.com/v1/audio-analysis/6r2BECwMgEoRb5yLfp0Hca,260253,4,No,1
Mi Vida Loca (My Crazy Life),Pam Tillis,2006-08-11,2006,00,2ltEaKIjUJNlz3jSezRvUC,0.538,0.701,1,-9.935,0,0.0438,0.161,1.73e-06,0.0925,0.864,179.881,audio_features,spotify:track:2ltEaKIjUJNlz3jSezRvUC,https://api.spotify.com/v1/tracks/2ltEaKIjUJNlz3jSezRvUC,https://api.spotify.com/v1/audio-analysis/2ltEaKIjUJNlz3jSezRvUC,171933,4,No,3
I've Got to Use My Imagination,Gladys Knight & The Pips,1973,1973,70,7MF7QAodbGzNYav5ZfIhAY,0.595,0.379,10,-12.058,0,0.0454,0.271,2.81e-05,0.1,0.448,92.006,audio_features,spotify:track:7MF7QAodbGzNYav5ZfIhAY,https://api.spotify.com/v1/tracks/7MF7QAodbGzNYav5ZfIhAY,https://api.spotify.com/v1/audio-analysis/7MF7QAodbGzNYav5ZfIhAY,279333,4,No,0
Party in the U.S.A.,Miley Cyrus,2009-01-01,2009,00,5Q0Nhxo0l2bP3pNjpGJwV1,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,audio_features,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,https://api.spotify.com/v1/tracks/5Q0Nhxo0l2bP3pNjpGJwV1,https://api.spotify.com/v1/audio-analysis/5Q0Nhxo0l2bP3pNjpGJwV1,202067,4,No,9
(It Takes) Two to Make It Right,Seduction,1989,1989,80,6GS6uE1vDmtzxO8GztAR2O,0.772,0.598,7,-10.857,0,0.0429,0.204,0.00345,0.513,0.717,114.419,audio_features,spotify:track:6GS6uE1vDmtzxO8GztAR2O,https://api.spotify.com/v1/tracks/6GS6uE1vDmtzxO8GztAR2O,https://api.spotify.com/v1/audio-analysis/6GS6uE1vDmtzxO8GztAR2O,282267,4,No,4
Malambo No. 1,Yma Sumac,1954,1954,50,31EKf1HRXKA3lD2LOjJJNX,0.705,0.532,10,-11.724,1,0.0846,0.805,0.00184,0.0945,0.846,103.904,audio_features,spotify:track:31EKf1HRXKA3lD2LOjJJNX,https://api.spotify.com/v1/tracks/31EKf1HRXKA3lD2LOjJJNX,https://api.spotify.com/v1/audio-analysis/31EKf1HRXKA3lD2LOjJJNX,176600,4,No,0
The Beginning,RuPaul,2011-05-03,2011,10,10Xt9nkxQZNsPDtg30xpvR,0.586,0.809,0,-4.982,0,0.0525,0.000121,8.29e-05,0.34,0.787,133.99,audio_features,spotify:track:10Xt9nkxQZNsPDtg30xpvR,https://api.spotify.com/v1/tracks/10Xt9nkxQZNsPDtg30xpvR,https://api.spotify.com/v1/audio-analysis/10Xt9nkxQZNsPDtg30xpvR,230520,4,No,1
Only Girl (In the World),Rihanna,2010-01-01,2010,10,2ENexcMEMsYk0rVJigVD3i,0.789,0.706,11,-4.233,0,0.0429,0.112,1.71e-05,0.0586,0.638,125.911,audio_features,spotify:track:2ENexcMEMsYk0rVJigVD3i,https://api.spotify.com/v1/tracks/2ENexcMEMsYk0rVJigVD3i,https://api.spotify.com/v1/audio-analysis/2ENexcMEMsYk0rVJigVD3i,235493,4,No,5
When I Grow Up,The Pussycat Dolls,2008-09-23,2008,00,21pySLskKIKrhDziCX5ojQ,0.671,0.685,11,-5.762,0,0.05,0.00165,0.0,0.398,0.368,118.449,audio_features,spotify:track:21pySLskKIKrhDziCX5ojQ,https://api.spotify.com/v1/tracks/21pySLskKIKrhDziCX5ojQ,https://api.spotify.com/v1/audio-analysis/21pySLskKIKrhDziCX5ojQ,245680,4,No,9
Oops!... I Did It Again,Britney Spears,2000-05-16,2000,00,6naxalmIoLFWR0siv8dnQQ,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,audio_features,spotify:track:6naxalmIoLFWR0siv8dnQQ,https://api.spotify.com/v1/tracks/6naxalmIoLFWR0siv8dnQQ,https://api.spotify.com/v1/audio-analysis/6naxalmIoLFWR0siv8dnQQ,211160,4,No,5
Take Me Home,Cher,1979-01-01,1979,70,2zMXH5k5NZy1Nw460bLvRh,0.571,0.903,7,-2.184,1,0.214,0.0615,1.23e-06,0.186,0.477,127.951,audio_features,spotify:track:2zMXH5k5NZy1Nw460bLvRh,https://api.spotify.com/v1/tracks/2zMXH5k5NZy1Nw460bLvRh,https://api.spotify.com/v1/audio-analysis/2zMXH5k5NZy1Nw460bLvRh,206320,4,No,10
I'm So Excited,The Pointer Sisters,1982-02-01,1982,80,1ot6jEe4w4hYnsOPjd3xKQ,0.59,0.868,5,-5.832,0,0.048,0.0962,0.000322,0.442,0.798,184.348,audio_features,spotify:track:1ot6jEe4w4hYnsOPjd3xKQ,https://api.spotify.com/v1/tracks/1ot6jEe4w4hYnsOPjd3xKQ,https://api.spotify.com/v1/audio-analysis/1ot6jEe4w4hYnsOPjd3xKQ,230640,4,No,10
Whip My Hair,Willow Smith,2010-10-26,2010,10,4Dio1t8RHzLv1nfPJTSZyP,0.552,0.98,9,-4.676,0,0.254,0.00159,0.00552,0.438,0.668,162.961,audio_features,spotify:track:4Dio1t8RHzLv1nfPJTSZyP,https://api.spotify.com/v1/tracks/4Dio1t8RHzLv1nfPJTSZyP,https://api.spotify.com/v1/audio-analysis/4Dio1t8RHzLv1nfPJTSZyP,195440,4,No,1
Ain't Nothin' Goin' On but the Rent,Gwen Guthrie,1986-01-01,1986,80,4De6tTVXe0N3V0OPOmkvT3,0.793,0.681,10,-11.772,0,0.0825,0.084,0.00022,0.532,0.888,107.244,audio_features,spotify:track:4De6tTVXe0N3V0OPOmkvT3,https://api.spotify.com/v1/tracks/4De6tTVXe0N3V0OPOmkvT3,https://api.spotify.com/v1/audio-analysis/4De6tTVXe0N3V0OPOmkvT3,359560,4,No,4
Cold Hearted,Paula Abdul,1988-01-01,1988,80,6jrp8qBMJO6vhAeYVAsdk9,0.879,0.679,7,-8.59,0,0.0421,0.149,0.00871,0.0787,0.724,122.38,audio_features,spotify:track:6jrp8qBMJO6vhAeYVAsdk9,https://api.spotify.com/v1/tracks/6jrp8qBMJO6vhAeYVAsdk9,https://api.spotify.com/v1/audio-analysis/6jrp8qBMJO6vhAeYVAsdk9,230853,4,No,4
Express Yourself,Madonna,2009-09-18,2009,00,6ioBgySxoeQKALvAeLEmId,0.667,0.93,7,-4.585,1,0.0608,0.0108,0.0,0.176,0.893,115.57,audio_features,spotify:track:6ioBgySxoeQKALvAeLEmId,https://api.spotify.com/v1/tracks/6ioBgySxoeQKALvAeLEmId,https://api.spotify.com/v1/audio-analysis/6ioBgySxoeQKALvAeLEmId,239093,4,No,5
Think,Aretha Franklin,1968-06-14,1968,60,4yQw7FR9lcvL6RHtegbJBh,0.687,0.63,6,-10.817,1,0.0389,0.251,0.0,0.221,0.926,110.051,audio_features,spotify:track:4yQw7FR9lcvL6RHtegbJBh,https://api.spotify.com/v1/tracks/4yQw7FR9lcvL6RHtegbJBh,https://api.spotify.com/v1/audio-analysis/4yQw7FR9lcvL6RHtegbJBh,139733,4,No,4
Stronger (What Doesn't Kill You),Kelly Clarkson,2011-10-24,2011,10,6D60klaHqbCl9ySc8VcRss,0.562,0.939,0,-4.282,1,0.0475,0.046,0.0,0.112,0.684,116.044,audio_features,spotify:track:6D60klaHqbCl9ySc8VcRss,https://api.spotify.com/v1/tracks/6D60klaHqbCl9ySc8VcRss,https://api.spotify.com/v1/audio-analysis/6D60klaHqbCl9ySc8VcRss,221947,4,No,5
Sissy That Walk,RuPaul,2014-02-24,2014,10,5PHPENfE3RVmHGAA2A7Hfx,0.826,0.614,11,-4.22,1,0.0561,0.0191,0.0172,0.0865,0.591,126.046,audio_features,spotify:track:5PHPENfE3RVmHGAA2A7Hfx,https://api.spotify.com/v1/tracks/5PHPENfE3RVmHGAA2A7Hfx,https://api.spotify.com/v1/audio-analysis/5PHPENfE3RVmHGAA2A7Hfx,212693,4,No,5
Turn the Beat Around,Vicki Sue Robinson,1972,1972,70,0XQxZZIgdcXBaxgL7zMKpK,0.708,0.94,7,-4.03,0,0.0593,0.162,5.62e-06,0.305,0.869,131.072,audio_features,spotify:track:0XQxZZIgdcXBaxgL7zMKpK,https://api.spotify.com/v1/tracks/0XQxZZIgdcXBaxgL7zMKpK,https://api.spotify.com/v1/audio-analysis/0XQxZZIgdcXBaxgL7zMKpK,333827,4,No,10
Shake It Up,Selena Gomez,2011-01-01,2011,10,2Q0WZoJaRJlelcxqOvowUc,0.738,0.906,11,-5.496,1,0.274,0.139,0.0,0.0691,0.831,160.088,audio_features,spotify:track:2Q0WZoJaRJlelcxqOvowUc,https://api.spotify.com/v1/tracks/2Q0WZoJaRJlelcxqOvowUc,https://api.spotify.com/v1/audio-analysis/2Q0WZoJaRJlelcxqOvowUc,120560,4,No,2
I'm Every Woman,Chaka Khan,1978-10-13,1978,70,1oFiPGBafH9Woo9AMwgBSl,0.603,0.886,0,-7.301,0,0.0465,0.0418,0.000171,0.295,0.727,114.045,audio_features,spotify:track:1oFiPGBafH9Woo9AMwgBSl,https://api.spotify.com/v1/tracks/1oFiPGBafH9Woo9AMwgBSl,https://api.spotify.com/v1/audio-analysis/1oFiPGBafH9Woo9AMwgBSl,249600,4,No,10
Head to Toe,Lisa Lisa & Cult Jam,1987,1987,80,5VzqFMyPERPObMOzZdELuK,0.879,0.511,11,-11.36,0,0.124,0.0425,0.0074,0.176,0.839,113.763,audio_features,spotify:track:5VzqFMyPERPObMOzZdELuK,https://api.spotify.com/v1/tracks/5VzqFMyPERPObMOzZdELuK,https://api.spotify.com/v1/audio-analysis/5VzqFMyPERPObMOzZdELuK,303267,4,No,4
Whatta Man,"Salt-n-Pepa, En Vogue",1993-10-12,1993,90,7sJN693sYKEIEMu7fc5VnJ,0.757,0.544,5,-10.722,1,0.219,0.154,6.07e-05,0.226,0.921,173.208,audio_features,spotify:track:7sJN693sYKEIEMu7fc5VnJ,https://api.spotify.com/v1/tracks/7sJN693sYKEIEMu7fc5VnJ,https://api.spotify.com/v1/audio-analysis/7sJN693sYKEIEMu7fc5VnJ,308360,4,No,4
Point of No Return,Exposé,1987,1987,80,0ozd432IdkUR3ItM8ieKt0,0.6,0.814,0,-9.411,1,0.0415,0.00342,0.00209,0.0605,0.873,120.037,audio_features,spotify:track:0ozd432IdkUR3ItM8ieKt0,https://api.spotify.com/v1/tracks/0ozd432IdkUR3ItM8ieKt0,https://api.spotify.com/v1/audio-analysis/0ozd432IdkUR3ItM8ieKt0,207867,4,No,4
Stupid Girls,Pink,2006-04-04,2006,00,1Ab6RxeKl3e07zP7Get7CX,0.683,0.886,4,-5.045,0,0.071,0.000738,0.00188,0.0524,0.566,100.04,audio_features,spotify:track:1Ab6RxeKl3e07zP7Get7CX,https://api.spotify.com/v1/tracks/1Ab6RxeKl3e07zP7Get7CX,https://api.spotify.com/v1/audio-analysis/1Ab6RxeKl3e07zP7Get7CX,197173,4,No,5
Geronimo,RuPaul ft. Lucian Piane,2014-02-24,2014,10,1w6DRfEwDvMYaNRRCn3MiC,0.88,0.928,6,-6.344,1,0.233,0.0107,0.00208,0.416,0.517,146.011,audio_features,spotify:track:1w6DRfEwDvMYaNRRCn3MiC,https://api.spotify.com/v1/tracks/1w6DRfEwDvMYaNRRCn3MiC,https://api.spotify.com/v1/audio-analysis/1w6DRfEwDvMYaNRRCn3MiC,222933,4,No,2
Show Me Love,Robin S.,1993-06-15,1993,90,4t0UsYzmmmZRMTWn77jiGF,0.811,0.833,5,-4.259,1,0.153,0.014,2.06e-05,0.0769,0.567,120.258,audio_features,spotify:track:4t0UsYzmmmZRMTWn77jiGF,https://api.spotify.com/v1/tracks/4t0UsYzmmmZRMTWn77jiGF,https://api.spotify.com/v1/audio-analysis/4t0UsYzmmmZRMTWn77jiGF,252107,4,No,10
Roar,Katy Perry,2013-01-01,2013,10,27tNWlhdAryQY04Gb2ZhUI,0.671,0.771,7,-4.821,0,0.0316,0.00492,7.28e-06,0.354,0.436,90.003,audio_features,spotify:track:27tNWlhdAryQY04Gb2ZhUI,https://api.spotify.com/v1/tracks/27tNWlhdAryQY04Gb2ZhUI,https://api.spotify.com/v1/audio-analysis/27tNWlhdAryQY04Gb2ZhUI,223546,4,No,9
Born Naked,RuPaul ft. Clairy Browne,2014-02-24,2014,10,20GNVIllZWk2vF8p6Cz7uP,0.634,0.86,4,-3.55,1,0.206,0.0207,0.0,0.464,0.648,141.857,audio_features,spotify:track:20GNVIllZWk2vF8p6Cz7uP,https://api.spotify.com/v1/tracks/20GNVIllZWk2vF8p6Cz7uP,https://api.spotify.com/v1/audio-analysis/20GNVIllZWk2vF8p6Cz7uP,203253,4,No,1
Twist of Fate,Olivia Newton-John,2017-10-27,2017,10,533BzrB9TWzWH27T9Ra7Um,0.605,0.693,1,-8.84,0,0.0409,0.253,0.00025,0.103,0.579,164.343,audio_features,spotify:track:533BzrB9TWzWH27T9Ra7Um,https://api.spotify.com/v1/tracks/533BzrB9TWzWH27T9Ra7Um,https://api.spotify.com/v1/audio-analysis/533BzrB9TWzWH27T9Ra7Um,218227,4,No,3
I Was Gonna Cancel,Kylie Minogue,2014-03-14,2014,10,4WiQmOTCwKGeq4IUKxQOZg,0.74,0.773,3,-5.667,0,0.062,0.00546,0.049,0.161,0.861,119.951,audio_features,spotify:track:4WiQmOTCwKGeq4IUKxQOZg,https://api.spotify.com/v1/tracks/4WiQmOTCwKGeq4IUKxQOZg,https://api.spotify.com/v1/audio-analysis/4WiQmOTCwKGeq4IUKxQOZg,212733,4,No,5
Dreaming,Blondie,1979-09-28,1979,70,59CLe8stbcx4XYBWdsfbwK,0.442,0.922,2,-5.086,1,0.0655,0.0532,3.86e-06,0.0768,0.855,162.272,audio_features,spotify:track:59CLe8stbcx4XYBWdsfbwK,https://api.spotify.com/v1/tracks/59CLe8stbcx4XYBWdsfbwK,https://api.spotify.com/v1/audio-analysis/59CLe8stbcx4XYBWdsfbwK,217364,4,No,10
Lovergirl,Teena Marie,1999-10-08,1999,90,13xKh7WqwxzEFYhYCJJwHg,0.73,0.756,9,-7.509,0,0.0492,0.0469,0.00333,0.235,0.827,123.604,audio_features,spotify:track:13xKh7WqwxzEFYhYCJJwHg,https://api.spotify.com/v1/tracks/13xKh7WqwxzEFYhYCJJwHg,https://api.spotify.com/v1/audio-analysis/13xKh7WqwxzEFYhYCJJwHg,259560,4,No,10
Break Free,Ariana Grande ft. Zedd,2014-08-25,2014,10,12KUFSHFgT0XCoiSlvdQi4,0.687,0.702,7,-5.324,0,0.0455,0.0064,4.35e-05,0.204,0.284,129.956,audio_features,spotify:track:12KUFSHFgT0XCoiSlvdQi4,https://api.spotify.com/v1/tracks/12KUFSHFgT0XCoiSlvdQi4,https://api.spotify.com/v1/audio-analysis/12KUFSHFgT0XCoiSlvdQi4,214840,4,No,9
No More Lies,Michel'le,1989,1989,80,62tGzw9OJOwDcjPBnMPCuj,0.602,0.835,10,-4.573,0,0.0413,0.0921,6.43e-05,0.138,0.496,97.992,audio_features,spotify:track:62tGzw9OJOwDcjPBnMPCuj,https://api.spotify.com/v1/tracks/62tGzw9OJOwDcjPBnMPCuj,https://api.spotify.com/v1/audio-analysis/62tGzw9OJOwDcjPBnMPCuj,327218,4,No,10
I Think We're Alone Now,Tiffany,1987-01-01,1987,80,4uvjOKsp7mSjrDhWdkLPBY,0.752,0.723,7,-12.126,1,0.0507,0.025,0.00354,0.0212,0.94,130.519,audio_features,spotify:track:4uvjOKsp7mSjrDhWdkLPBY,https://api.spotify.com/v1/tracks/4uvjOKsp7mSjrDhWdkLPBY,https://api.spotify.com/v1/audio-analysis/4uvjOKsp7mSjrDhWdkLPBY,228840,4,No,4
Really Don't Care,Demi Lovato ft. Cher Lloyd,2013-01-01,2013,10,5vTPxzm4h2bY9rYyVrGEU5,0.706,0.728,7,-3.602,1,0.0852,0.123,0.0,0.185,0.851,121.017,audio_features,spotify:track:5vTPxzm4h2bY9rYyVrGEU5,https://api.spotify.com/v1/tracks/5vTPxzm4h2bY9rYyVrGEU5,https://api.spotify.com/v1/audio-analysis/5vTPxzm4h2bY9rYyVrGEU5,201600,4,No,5
I Will Survive,Gloria Gaynor,2000-01-01,2000,00,7cv28LXcjAC3GsXbUvXKbX,0.777,0.725,0,-8.681,1,0.05,0.0131,0.00805,0.246,0.529,116.669,audio_features,spotify:track:7cv28LXcjAC3GsXbUvXKbX,https://api.spotify.com/v1/tracks/7cv28LXcjAC3GsXbUvXKbX,https://api.spotify.com/v1/audio-analysis/7cv28LXcjAC3GsXbUvXKbX,198066,4,No,9
Mesmerized (Freemasons Radio Edit),Faith Evans,2010-01-25,2010,10,7MQywXGHEev7JmwwIzMcao,0.767,0.551,0,-7.328,1,0.0616,0.00364,0.0,0.0451,0.796,100.904,audio_features,spotify:track:7MQywXGHEev7JmwwIzMcao,https://api.spotify.com/v1/tracks/7MQywXGHEev7JmwwIzMcao,https://api.spotify.com/v1/audio-analysis/7MQywXGHEev7JmwwIzMcao,275707,4,No,5
Call Me,Blondie,2004-01-01,2004,00,71B9rY4v1U2knyQTUh6uLn,0.684,0.839,2,-5.621,1,0.0399,0.337,0.00773,0.0304,0.939,107.354,audio_features,spotify:track:71B9rY4v1U2knyQTUh6uLn,https://api.spotify.com/v1/tracks/71B9rY4v1U2knyQTUh6uLn,https://api.spotify.com/v1/audio-analysis/71B9rY4v1U2knyQTUh6uLn,336093,4,No,5
Causing a Commotion,Madonna,1987-07-21,1987,80,3sX3c6QUPSAiKf77RZRf5B,0.771,0.749,5,-10.628,0,0.0401,0.216,0.00184,0.135,0.854,119.875,audio_features,spotify:track:3sX3c6QUPSAiKf77RZRf5B,https://api.spotify.com/v1/tracks/3sX3c6QUPSAiKf77RZRf5B,https://api.spotify.com/v1/audio-analysis/3sX3c6QUPSAiKf77RZRf5B,261667,4,No,4
I Love It,Icona Pop ft. Charli XCX,2013-08-27,2013,10,6HZ9VeI5IRFCNQLXhpF4bq,0.711,0.906,8,-2.671,1,0.0284,0.00952,1.64e-05,0.153,0.824,125.916,audio_features,spotify:track:6HZ9VeI5IRFCNQLXhpF4bq,https://api.spotify.com/v1/tracks/6HZ9VeI5IRFCNQLXhpF4bq,https://api.spotify.com/v1/audio-analysis/6HZ9VeI5IRFCNQLXhpF4bq,157153,4,No,5
And I Am Telling You I'm Not Going,Jennifer Holliday,2006-01-01,2006,00,6SetWNnANlNaeH22lF2VyB,0.377,0.537,10,-9.075,1,0.0357,0.142,1.12e-06,0.83,0.22,122.645,audio_features,spotify:track:6SetWNnANlNaeH22lF2VyB,https://api.spotify.com/v1/tracks/6SetWNnANlNaeH22lF2VyB,https://api.spotify.com/v1/audio-analysis/6SetWNnANlNaeH22lF2VyB,246293,4,No,1
You Make Me Feel (Mighty Real),Sylvester,1978-01-01,1978,70,0RnCUYXa7jhgTXtiMXF2PQ,0.629,0.851,5,-11.182,0,0.0294,0.0309,0.303,0.0947,0.961,130.7,audio_features,spotify:track:0RnCUYXa7jhgTXtiMXF2PQ,https://api.spotify.com/v1/tracks/0RnCUYXa7jhgTXtiMXF2PQ,https://api.spotify.com/v1/audio-analysis/0RnCUYXa7jhgTXtiMXF2PQ,400116,4,No,7
The Realness,RuPaul,2015-03-02,2015,10,1oSUTFfnEwftOTRxpLKWOY,0.708,0.814,7,-5.737,0,0.045,0.00219,9.74e-05,0.109,0.858,125.991,audio_features,spotify:track:1oSUTFfnEwftOTRxpLKWOY,https://api.spotify.com/v1/tracks/1oSUTFfnEwftOTRxpLKWOY,https://api.spotify.com/v1/audio-analysis/1oSUTFfnEwftOTRxpLKWOY,205267,4,No,5
Cool for the Summer,Demi Lovato,2015-01-01,2015,10,3uwnnTQcHM1rDqSfA4gQNz,0.583,0.61,5,-5.639,0,0.0382,0.00425,0.000105,0.14,0.336,114.06,audio_features,spotify:track:3uwnnTQcHM1rDqSfA4gQNz,https://api.spotify.com/v1/tracks/3uwnnTQcHM1rDqSfA4gQNz,https://api.spotify.com/v1/audio-analysis/3uwnnTQcHM1rDqSfA4gQNz,214740,4,No,9
Macho Man,Village People,1978-02-12,1978,70,22kv2NoeaD7qhTgShfZjIv,0.745,0.593,5,-12.33,1,0.0439,0.0523,0.0,0.582,0.888,132.897,audio_features,spotify:track:22kv2NoeaD7qhTgShfZjIv,https://api.spotify.com/v1/tracks/22kv2NoeaD7qhTgShfZjIv,https://api.spotify.com/v1/audio-analysis/22kv2NoeaD7qhTgShfZjIv,314800,4,No,4
U Wear It Well,RuPaul,2016-03-04,2016,10,60WR7ZzcpMx0Q5A0zoQsyM,0.775,0.942,1,-5.44,1,0.0615,0.0284,1.01e-06,0.0612,0.801,126.05,audio_features,spotify:track:60WR7ZzcpMx0Q5A0zoQsyM,https://api.spotify.com/v1/tracks/60WR7ZzcpMx0Q5A0zoQsyM,https://api.spotify.com/v1/audio-analysis/60WR7ZzcpMx0Q5A0zoQsyM,178253,4,No,5
It's Not Right but It's Okay (Thunderpuss Remix),Whitney Houston,2006-05-02,2006,00,5OqmLY18KXsZR1aGrXP3ZI,0.735,0.944,8,-4.872,1,0.041,0.01,0.00308,0.048,0.761,129.994,audio_features,spotify:track:5OqmLY18KXsZR1aGrXP3ZI,https://api.spotify.com/v1/tracks/5OqmLY18KXsZR1aGrXP3ZI,https://api.spotify.com/v1/audio-analysis/5OqmLY18KXsZR1aGrXP3ZI,256640,4,No,5
So Emotional,Whitney Houston,1987-06-02,1987,80,4l2Edgdj4vla02GCh7YyAv,0.698,0.791,11,-10.012,0,0.0495,0.271,4.74e-05,0.199,0.809,119.081,audio_features,spotify:track:4l2Edgdj4vla02GCh7YyAv,https://api.spotify.com/v1/tracks/4l2Edgdj4vla02GCh7YyAv,https://api.spotify.com/v1/audio-analysis/4l2Edgdj4vla02GCh7YyAv,276667,4,No,4
Love Shack,The B-52's,1989-06-23,1989,80,4W4wYHtsrgDiivRASVOINL,0.701,0.803,5,-6.786,0,0.0545,0.0544,1.54e-06,0.7,0.903,133.608,audio_features,spotify:track:4W4wYHtsrgDiivRASVOINL,https://api.spotify.com/v1/tracks/4W4wYHtsrgDiivRASVOINL,https://api.spotify.com/v1/audio-analysis/4W4wYHtsrgDiivRASVOINL,320680,4,No,10
